player_name,player_position,height,nationality,date_of_birth,weight
Brahim DÃ­az,Forward,171cm,Spain,03/08/1999,
James Milner,Midfielder,175cm,England,04/01/1986,70
Saman Ghoddos,Forward,176cm,Iran,06/09/1993,75
Collin Quaner,Forward,191cm,Germany,18/06/1991,
Luke Plange,Forward,178cm,England,04/11/2002,
Jerome Opoku,Defender,194cm,England,14/10/1998,
Evan Ferguson,Forward,,Ireland,19/10/2004,
Kwadwo Baah,Midfielder,,Germany,27/01/2003,
Joel Robles,Goalkeeper,195cm,Spain,17/06/1990,
Lukas Rupp,Midfielder,178cm,Germany,08/01/1991,73
Ben Whitfield,Midfielder,165cm,England,28/02/1996,
Jacob Montes,Midfielder,,United States,20/10/1998,
Wout Weghorst,Forward,197cm,Netherlands,07/08/1992,84
Jordon Ibe,Forward,176cm,England,08/12/1995,
Lukas Jensen,Goalkeeper,198cm,Denmark,18/03/1999,
Jonjoe Kenny,Defender,176cm,England,15/03/1997,67
Kenneth Zohore,Forward,189cm,Denmark,31/01/1994,
Mason Bloomfield,Forward,191cm,England,04/11/1996,
Daniel Jebbison,Forward,190cm,England,11/07/2003,
Harry Kane,Forward,188cm,England,28/07/1993,86
Dion Sanderson,Defender,,England,15/12/1999,
Tom Carroll,Midfielder,177cm,England,28/05/1992,
Dennis Adeniran,Midfielder,180cm,England,02/01/1999,
Karl Darlow,Goalkeeper,190cm,England,08/10/1990,88
Jordy Hiwula-Mayifuila,Forward,178cm,England,21/09/1994,
Tammy Abraham,Forward,190cm,England,02/10/1997,
Bernd Leno,Goalkeeper,190cm,Germany,04/03/1992,83
Dani Ceballos,Midfielder,179cm,Spain,07/08/1996,
Ragnar Klavan,Defender,187cm,Estonia,30/10/1985,
Jordan Zemura,Defender,,Zimbabwe,14/11/1999,
Jude Soonsup-Bell,Forward,,England,10/01/2004,
Jacob Maddox,Midfielder,179cm,England,03/11/1998,
Vincent Angelini,Goalkeeper,186cm,Scotland,12/09/2003,
Ethan Galbraith,Midfielder,175cm,Northern Ireland,11/05/2001,
David de Gea,Goalkeeper,192cm,Spain,07/11/1990,76
Jay-Roy Grot,Forward,193cm,Netherlands,13/03/1998,
Semi Ajayi,Defender,193cm,Nigeria,09/11/1993,
Georginio Wijnaldum,Midfielder,175cm,Netherlands,11/11/1990,
Joe Powell,Midfielder,178cm,England,30/10/1998,
Aymeric Laporte,Defender,191cm,Spain,27/05/1994,86
Benjamin White,Defender,182cm,England,08/10/1997,78
Anton Walkes,Defender,187cm,England,08/02/1997,
Kayne Ramsay,Defender,,England,10/10/2000,
Kalvin Phillips,Midfielder,178cm,England,02/12/1995,72
Mads Roerslev,Defender,184cm,Denmark,24/06/1999,77
Maya Yoshida,Defender,189cm,Japan,24/08/1988,
Filip Krovinovic,Midfielder,175cm,Croatia,29/08/1995,
Simon Mignolet,Goalkeeper,193cm,Belgium,06/03/1988,
Josh Maja,Forward,180cm,Nigeria,27/12/1998,
