club_name,website,stadium_name
"""Arsenal""",https://www.arsenal.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Emirates Stadium"""
"""Aston Villa""",https://www.avfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Villa Park"""
"""Barnsley""",NULL,"""Oakwell"""
"""Birmingham City""",NULL,"""St. Andrew's Trillion Trophy Stadium"""
"""Blackburn Rovers""",NULL,"""Ewood Park"""
"""Blackpool""",NULL,"""Bloomfield Road"""
"""Bolton Wanderers""",NULL,"""University of Bolton Stadium"""
"""AFC Bournemouth""",http://www.afcb.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Vitality Stadium"""
"""Bradford City""",NULL,"""Valley Parade"""
"""Brentford""",https://www.brentfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Brentford Community Stadium"""
"""Brighton and Hove Albion""",https://www.brightonandhovealbion.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Amex Stadium"""
"""Burnley""",http://www.burnleyfootballclub.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Turf Moor"""
"""Cardiff City""",http://www.cardiffcityfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Cardiff City Stadium"""
"""Charlton Athletic""",NULL,"""The Valley"""
"""Chelsea""",https://www.chelseafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Stamford Bridge"""
"""Coventry City""",NULL,"""Highfield Road"""
"""Crystal Palace""",http://www.cpfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Selhurst Park"""
"""Derby County""",NULL,"""Pride Park Stadium"""
"""Everton""",http://www.evertonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Goodison Park"""
"""Fulham""",http://www.fulhamfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""Craven Cottage"""
"""Huddersfield Town""",https://www.htafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link,"""John Smith's Stadium"""
