name,position,country,height,date_of_birth,season,club_name
Brandon Pierrick,Forward,England,182cm,10/12/2001,2020/2021,Crystal Palace
Brandon Pierrick,Forward,England,182cm,10/12/2001,2019/2020,Crystal Palace
Flávio Cristóvão,Defender,Portugal,185cm,23/05/1997,2019/2020,Wolverhampton Wanderers
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2021/2022,Brighton and Hove Albion
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2019/2020,Brighton and Hove Albion
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2019/2020,Brighton and Hove Albion (Loan)
Tudor Baluta,Defender,Romania,192cm,27/03/1999,2018/2019,Brighton and Hove Albion (Loan)
Jaime Alvarado,Midfielder,Colombia,179cm,26/07/1999,2021/2022,Watford
Terence Kongolo,Defender,Netherlands,188cm,14/02/1994,2020/2021,Fulham
Terence Kongolo,Defender,Netherlands,188cm,14/02/1994,2018/2019,Huddersfield Town
Terence Kongolo,Defender,Netherlands,188cm,14/02/1994,2018/2019,Huddersfield Town (Loan)
Calum Chambers,Defender,England,182cm,20/01/1995,2021/2022,Aston Villa
Calum Chambers,Defender,England,182cm,20/01/1995,2021/2022,Arsenal
Calum Chambers,Defender,England,182cm,20/01/1995,2020/2021,Arsenal
Calum Chambers,Defender,England,182cm,20/01/1995,2019/2020,Arsenal
Calum Chambers,Defender,England,182cm,20/01/1995,2018/2019,Fulham (Loan)
Calum Chambers,Defender,England,182cm,20/01/1995,2018/2019,Arsenal
Bruno Jordão,Midfielder,Portugal,180cm,12/10/1998,2021/2022,Wolverhampton Wanderers
Bruno Jordão,Midfielder,Portugal,180cm,12/10/1998,2020/2021,Wolverhampton Wanderers
Bruno Jordão,Midfielder,Portugal,180cm,12/10/1998,2019/2020,Wolverhampton Wanderers
Josh Brownhill,Midfielder,England,180cm,19/12/1995,2021/2022,Burnley
Josh Brownhill,Midfielder,England,180cm,19/12/1995,2020/2021,Burnley
Josh Brownhill,Midfielder,England,180cm,19/12/1995,2019/2020,Burnley
Rúnar Rúnarsson,Goalkeeper,Iceland,186cm,18/02/1995,2021/2022,Arsenal
Rúnar Rúnarsson,Goalkeeper,Iceland,186cm,18/02/1995,2020/2021,Arsenal
Vitalii Mykolenko,Defender,Ukraine,180cm,29/05/1999,2021/2022,Everton
Timo Werner,Forward,Germany,180cm,06/03/1996,2021/2022,Chelsea
Timo Werner,Forward,Germany,180cm,06/03/1996,2020/2021,Chelsea
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2021/2022,Manchester City
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2021/2022,Manchester City
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2019/2020,Norwich City (Loan)
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2019/2020,Manchester City
Patrick Roberts,Midfielder,England,168cm,05/02/1997,2018/2019,Manchester City
Luke Shaw,Defender,England,185cm,12/07/1995,2021/2022,Manchester United
Luke Shaw,Defender,England,185cm,12/07/1995,2020/2021,Manchester United
Luke Shaw,Defender,England,185cm,12/07/1995,2019/2020,Manchester United
Luke Shaw,Defender,England,185cm,12/07/1995,2018/2019,Manchester United
Kurt Zouma,Defender,France,190cm,27/10/1994,2021/2022,West Ham United
Kurt Zouma,Defender,France,190cm,27/10/1994,2021/2022,Chelsea
Kurt Zouma,Defender,France,190cm,27/10/1994,2020/2021,Chelsea
Kurt Zouma,Defender,France,190cm,27/10/1994,2019/2020,Everton (Loan)
Kurt Zouma,Defender,France,190cm,27/10/1994,2019/2020,Chelsea
Kurt Zouma,Defender,France,190cm,27/10/1994,2018/2019,Everton (Loan)
Kurt Zouma,Defender,France,190cm,27/10/1994,2018/2019,Chelsea
John Egan,Defender,Ireland,185cm,20/10/1992,2020/2021,Sheffield United
John Egan,Defender,Ireland,185cm,20/10/1992,2019/2020,Sheffield United
Ricky Holmes,Midfielder,England,173cm,19/06/1987,2019/2020,Sheffield United
Jesurun Rak-Sakyi,Midfielder,England,,05/10/2002,2021/2022,Crystal Palace
Jesurun Rak-Sakyi,Midfielder,England,,05/10/2002,2021/2022,Crystal Palace
Jesurun Rak-Sakyi,Midfielder,England,,05/10/2002,2020/2021,Crystal Palace
Jeff Reine-Adélaïde,Midfielder,France,183cm,17/01/1998,2018/2019,Arsenal
Vincent Kompany,Defender,Belgium,193cm,10/04/1986,2019/2020,Manchester City
Vincent Kompany,Defender,Belgium,193cm,10/04/1986,2018/2019,Manchester City
Kgaogelo Chauke,Midfielder,England,,08/01/2003,2021/2022,Southampton
Kgaogelo Chauke,Midfielder,England,,08/01/2003,2021/2022,Southampton
Kgaogelo Chauke,Midfielder,England,,08/01/2003,2020/2021,Southampton
Ali Koiki,Defender,England,,22/08/1999,2020/2021,Burnley
Ali Koiki,Defender,England,,22/08/1999,2019/2020,Burnley
Ali Koiki,Defender,England,,22/08/1999,2018/2019,Burnley
Harry McKirdy,Forward,England,175cm,29/03/1997,2019/2020,Aston Villa
Ralf Fährmann,Goalkeeper,Germany,197cm,27/09/1988,2019/2020,Norwich City (Loan)
Emerson Hyndman,Midfielder,United States,170cm,09/04/1996,2018/2019,AFC Bournemouth
James Bree,Defender,England,172cm,11/12/1997,2019/2020,Aston Villa
Orestis Karnezis,Goalkeeper,Greece,189cm,11/07/1985,2018/2019,Watford (Loan)
Armand Traore,Defender,Senegal,185cm,08/10/1989,2018/2019,Cardiff City (Loan)
Ross Barkley,Midfielder,England,189cm,05/12/1993,2021/2022,Aston Villa (Loan)
Ross Barkley,Midfielder,England,189cm,05/12/1993,2021/2022,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2021/2022,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2020/2021,Aston Villa (Loan)
Ross Barkley,Midfielder,England,189cm,05/12/1993,2020/2021,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2019/2020,Chelsea
Ross Barkley,Midfielder,England,189cm,05/12/1993,2018/2019,Chelsea
Hugo Bueno,Defender,Spain,180cm,18/09/2002,2020/2021,Wolverhampton Wanderers
Michael Carrick,Midfielder,England,188cm,28/07/1981,2018/2019,Manchester United
Florent Hadergjonaj,Defender,Kosovo,182cm,31/07/1994,2018/2019,Huddersfield Town
Florent Hadergjonaj,Defender,Kosovo,182cm,31/07/1994,2018/2019,Huddersfield Town (Loan)
Carl Ikeme,Goalkeeper,Nigeria,188cm,08/06/1986,2018/2019,Wolverhampton Wanderers
Adam Leathers,Midfielder,England,,14/11/2001,2019/2020,Leicester City
Georges-Kévin Nkoudou,Midfielder,France,172cm,13/02/1995,2019/2020,Tottenham Hotspur
Georges-Kévin Nkoudou,Midfielder,France,172cm,13/02/1995,2018/2019,Burnley (Loan)
Georges-Kévin Nkoudou,Midfielder,France,172cm,13/02/1995,2018/2019,Tottenham Hotspur
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2021/2022,Newcastle United
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2020/2021,Newcastle United
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2019/2020,Newcastle United
Martin Dúbravka,Goalkeeper,Slovakia,190cm,15/01/1989,2018/2019,Newcastle United
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2021/2022,Leicester City
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2020/2021,Leicester City
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2020/2021,Leicester City
Ethan Fitzhugh,Midfielder,England,,27/11/2002,2019/2020,Leicester City
Xavi Quintillá,Defender,Spain,183cm,23/08/1996,2021/2022,Norwich City (Loan)
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2021/2022,Newcastle United
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2020/2021,Newcastle United
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2019/2020,Newcastle United
Karl Darlow,Goalkeeper,England,190cm,08/10/1990,2018/2019,Newcastle United
Yaya Touré,Midfielder,Cote D’Ivoire,188cm,13/05/1983,2018/2019,Manchester City
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2021/2022,Newcastle United
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2020/2021,Newcastle United
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2019/2020,Newcastle United
Fabian Schär,Defender,Switzerland,188cm,20/12/1991,2018/2019,Newcastle United
Kayky,Forward,Brazil,175cm,11/06/2003,2021/2022,Manchester City
Frankie Ealing,Defender,England,,14/07/2004,2021/2022,Aston Villa
Frankie Ealing,Defender,England,,14/07/2004,2020/2021,Aston Villa
Rhoys Wiggins,Defender,Wales,173cm,04/11/1987,2018/2019,AFC Bournemouth
Marek Rodák,Goalkeeper,Slovakia,194cm,13/12/1996,2020/2021,Fulham
Marek Rodák,Goalkeeper,Slovakia,194cm,13/12/1996,2018/2019,Fulham
Dane Scarlett,Forward,England,180cm,24/03/2004,2021/2022,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2021/2022,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2021/2022,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2020/2021,Tottenham Hotspur
Dane Scarlett,Forward,England,180cm,24/03/2004,2020/2021,Tottenham Hotspur
Juraj Kucka,Midfielder,Slovakia,186cm,26/02/1987,2021/2022,Watford
Reece Oxford,Defender,England,193cm,16/12/1998,2019/2020,West Ham United
Reece Oxford,Defender,England,193cm,16/12/1998,2018/2019,West Ham United
Oscar Bobb,Midfielder,Norway,,12/07/2003,2021/2022,Manchester City
Bernardo,Defender,Brazil,186cm,14/05/1995,2021/2022,Brighton and Hove Albion
Bernardo,Defender,Brazil,186cm,14/05/1995,2020/2021,Brighton and Hove Albion
Bernardo,Defender,Brazil,186cm,14/05/1995,2019/2020,Brighton and Hove Albion
Bernardo,Defender,Brazil,186cm,14/05/1995,2018/2019,Brighton and Hove Albion
Neil Etheridge,Goalkeeper,Philippines,188cm,07/02/1990,2018/2019,Cardiff City
Branislav Ivanovic,Defender,Serbia,185cm,22/02/1984,2020/2021,West Bromwich Albion
